N,Seed,Alpha,Converged,Rounds,q_hat,FinalResidual,ExpectedPayoff,WorstCaseQ5,SCShare,RuntimeSec
50,57,0.7,1,18,0.70108692469412,9.35171779156141e-05,0.764484234599117,0.651540031462338,0.28947580313447,0.0028672
50,57,0.8,1,19,0.699648158924726,7.18203067839596e-05,0.765994390853629,0.651054154485909,0.296021921846056,0.0029245
50,57,0.9,1,19,0.698254371264671,7.75866544966419e-05,0.767478579677506,0.650515213361789,0.302537850530815,0.0031419
50,57,1,1,19,0.696900262290391,8.28985499964074e-05,0.76894221436307,0.64913094755662,0.309039017930622,0.0029916
50,58,0,1,16,0.700111085989699,8.97916850027825e-05,0.75573281538245,0.645783554681111,0.243776881127439,0.0026194
50,58,0.1,1,16,0.702159135966403,9.10959614599804e-05,0.757272795240963,0.646272636426317,0.250270271979597,0.0024875
50,58,0.2,1,17,0.703138387791191,7.57114912091073e-05,0.758801133463656,0.646788872186356,0.256788377604086,0.0026391
50,58,0.3,1,17,0.702762280564736,8.65299361404448e-05,0.76030998677786,0.647326152169552,0.2633149858771,0.0027148
50,58,0.4,1,17,0.702172038946634,9.65706938615418e-05,0.761801446225641,0.647960484695864,0.269848306716752,0.0028723
50,58,0.5,1,18,0.701447825639477,7.42724115895266e-05,0.763280966323831,0.649828798865961,0.276403566341119,0.0033864
50,58,0.6,1,18,0.702582416475091,8.43685625575297e-05,0.764736867670335,0.651852303585877,0.282942272130771,0.0050972
50,58,0.7,1,18,0.701087184350728,9.41948809949078e-05,0.766173824838374,0.652043325434464,0.289476066904794,0.0042986
50,58,0.8,1,19,0.699655933222584,7.22926348935282e-05,0.767597282111955,0.651094678656163,0.296022109117151,0.005942
50,58,0.9,1,19,0.698268050544746,7.80562779111871e-05,0.768995730861827,0.649861866083054,0.302538041958442,0.0028359
50,58,1,1,19,0.696918714166293,8.33655561611468e-05,0.770374240779673,0.648352424737042,0.309039213498387,0.0028733
50,59,0,1,16,0.700128623381,9.28783505250441e-05,0.754269401330957,0.646452388471038,0.243777100337052,0.0035883
50,59,0.1,1,16,0.700144916183413,9.03081775671943e-05,0.755871151226003,0.646839842924345,0.25027047766275,0.0026346
50,59,0.2,1,17,0.703196410058903,7.41197495185142e-05,0.75746051024657,0.647276389328152,0.256788516067218,0.0034116
50,59,0.3,1,17,0.702807515047045,8.49416837716555e-05,0.759029039814609,0.647768252646503,0.263315114170117,0.0028894
50,59,0.4,1,17,0.702203889237259,9.49857607330795e-05,0.760579095425547,0.64827092496755,0.269848424862727,0.002688
50,59,0.5,1,18,0.701466938295723,7.31648411361752e-05,0.762116478651664,0.64976971160141,0.276403643420458,0.0028916
50,59,0.6,1,18,0.701053705842521,7.99195204321257e-05,0.763628860041958,0.651609170726795,0.282942341755407,0.00287
50,59,0.7,1,18,0.701147511351042,8.9748281928731e-05,0.765121230014851,0.651755532834374,0.289476129137251,0.0026433
50,59,0.8,1,18,0.69964160071566,9.88696842154912e-05,0.766593224821725,0.65108092838242,0.296001592260265,0.0026926
50,59,0.9,1,19,0.698204219958085,7.49474391331661e-05,0.768051114186768,0.650148350403073,0.302538075238423,0.0029239
50,59,1,1,19,0.696810864963795,8.02581650237444e-05,0.769481907508415,0.648756236228444,0.309039241517485,0.0029323
50,60,0,1,16,0.700135364611131,8.72878070236061e-05,0.755495474914233,0.647065821613866,0.243777287569664,0.0026708
50,60,0.1,1,16,0.703028812561677,9.236606008034e-05,0.757043888184105,0.647537696255214,0.250270644098611,0.0023915
50,60,0.2,1,17,0.703046161403119,7.66085244834902e-05,0.758579903512986,0.647990843742981,0.256788622922129,0.0026576
50,60,0.3,1,17,0.702694508549925,8.74414784601818e-05,0.760095303439295,0.648447180335618,0.263315205589567,0.0026037
50,60,0.4,1,17,0.702124902460207,9.74961903498772e-05,0.761592407682868,0.64895452637875,0.269848501009466,0.0024099
50,60,0.5,1,18,0.701418201943531,7.49278708687962e-05,0.763076859520807,0.650003202487675,0.276403687478596,0.0026423
50,60,0.6,1,18,0.701125822999175,8.18945564600715e-05,0.764536699426092,0.651802971484498,0.282942374762502,0.0025688
50,60,0.7,1,18,0.701104339438781,9.17375213154992e-05,0.765976786964758,0.651821393857179,0.289476151288206,0.0026036
50,60,0.8,1,19,0.699644365081775,7.0583439540528e-05,0.767402713165438,0.651035470882216,0.296022155415695,0.0036865
50,60,0.9,1,19,0.698234091280763,7.63587638472341e-05,0.768802770399833,0.649935049465546,0.302538075241414,0.0027978
50,60,1,1,19,0.696866731142987,8.16793216478207e-05,0.770182172785677,0.64851102394272,0.309039234012799,0.0026371
50,61,0,1,16,0.700111241334653,8.89129338060568e-05,0.753644828309381,0.645410312040382,0.243777273742802,0.0023414
50,61,0.1,1,16,0.701837193981181,8.9559299792652e-05,0.755232386148684,0.645812530417389,0.250270669908569,0.0036288
50,61,0.2,1,17,0.703209799823042,7.46351189988559e-05,0.756807821942547,0.64623452317689,0.256788657238354,0.0026437
50,61,0.3,1,17,0.70281729233724,8.54501024812881e-05,0.758362830029236,0.646708194055462,0.263315269518374,0.0028534
50,61,0.4,1,17,0.702212130970403,9.5487488353363e-05,0.759899702074809,0.647919068905071,0.269848594337727,0.0029238
