N,Seed,Method,Class,Converged,Rounds,q_hat,FinalResidual,NativeCriterion,CommonAlphaExploitability,ExpectedPayoff,WorstCaseQ5,CE_gamma,PayoffDegradation,SCShare,RuntimeSec,DecisionAlpha,SolveDelta,Certificate
50,55,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454044e-05,mixed best-response fixed-point L1,0.0122620285001507,0.715658153588026,0.727483700320844,0.722162204291076,-0.0118255467328174,1.14996634136185e-05,0.0962686,1,0.2,none
50,55,DRNE-VI,Robust SOTA,0,300,0.998198949431928,0.0032518521817344,worst-distribution exploitability,0.00758623217545018,0.783278184601388,0.645348406586499,0.707416806693199,0.137929778014888,0.288843548536262,0.0060958,1,0.2,none
50,56,Proposed IT2-W-FBRI,Proposed,1,41,0.872889934950737,8.1030246111529e-05,max strategy-step L1,0.0122496799990245,0.715252169870008,0.727899631591835,0.722208273817013,-0.0126474617218262,0.000318783031332186,0.0060533,0.05,0.2,base Gamma_alpha certificate; focused point empirical
50,56,Isobe-APP,Convergence SOTA,1,42,0.778253183415401,9.71101511823917e-05,outer-anchor L1,7.17360619795215e-08,0.851221133827157,0.382369618442242,0.593352800365453,0.468851515384915,0.999952707283144,0.00413,1,0,none
50,56,RQE,Robust SOTA,1,23,0.691481000334441,9.72227896521294e-05,quantal fixed-point L1,0.010509354790928,0.784745928813436,0.62425332281657,0.69647499551516,0.160492605996866,0.389135510165119,0.2424254,1,0.2,none
50,56,MF-RQE,Robust SOTA,1,21,0.703155132539015,7.63455179394468e-05,quantal fixed-point L1,0.0142327149820258,0.76291421566514,0.649550634339546,0.700564245936063,0.113363581325594,0.273686363205582,0.1999219,1,0.2,none
50,56,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454044e-05,mixed best-response fixed-point L1,0.0122620285001507,0.714551199725203,0.727307590497176,0.721567214649788,-0.0127563907719733,1.14996634136185e-05,0.0954159,1,0.2,none
50,56,DRNE-VI,Robust SOTA,0,300,0.998198949431928,0.0032518521817344,worst-distribution exploitability,0.00758623217545018,0.783628692568806,0.645633708917561,0.707731451560621,0.137994983651246,0.288843548536262,0.0062306,1,0.2,none
50,57,Proposed IT2-W-FBRI,Proposed,1,41,0.87301893075944,8.10298030575835e-05,max strategy-step L1,0.0122496799681525,0.713361714983126,0.727491758446483,0.721133238887972,-0.0141300434633569,0.000318782800816427,0.007149,0.05,0.2,base Gamma_alpha certificate; focused point empirical
50,57,Isobe-APP,Convergence SOTA,1,42,0.778432059801114,9.80215971554633e-05,outer-anchor L1,7.24089117554172e-08,0.853930781267536,0.386386158169211,0.596781238563458,0.467544623098325,0.999952521636595,0.0040202,1,0,none
50,57,RQE,Robust SOTA,1,23,0.691481000334441,9.72227896521294e-05,quantal fixed-point L1,0.010509354790928,0.78321834843182,0.625116872261674,0.69626253653824,0.158101476170146,0.389135510165119,0.2422615,1,0.2,none
50,57,MF-RQE,Robust SOTA,1,21,0.703155132539015,7.63455179394468e-05,quantal fixed-point L1,0.0142327149820258,0.76076074096231,0.648892253438895,0.699233072824432,0.111868487523415,0.273686363205582,0.2054557,1,0.2,none
50,57,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454044e-05,mixed best-response fixed-point L1,0.0122620285001507,0.712697176198178,0.727352299074217,0.720757493779999,-0.0146551228760391,1.14996634136185e-05,0.0937002,1,0.2,none
50,57,DRNE-VI,Robust SOTA,0,300,0.998198949431928,0.0032518521817344,worst-distribution exploitability,0.00758623217545018,0.781585153066978,0.643679817794878,0.705737218667323,0.137905335272101,0.288843548536262,0.0101406,1,0.2,none
50,58,Proposed IT2-W-FBRI,Proposed,1,41,0.872922907346597,8.1030143620227e-05,max strategy-step L1,0.0122496799781175,0.712221132540653,0.725620419827477,0.719590740548406,-0.0133992872868246,0.000318782860664419,0.0081734,0.05,0.2,base Gamma_alpha certificate; focused point empirical
50,58,Isobe-APP,Convergence SOTA,1,42,0.778331398913721,9.74724953386181e-05,outer-anchor L1,7.20031518852693e-08,0.845972529346096,0.380360568945263,0.589885951125638,0.465611960400833,0.999952639356912,0.0046248,1,0,none
50,58,RQE,Robust SOTA,1,23,0.691481000334441,9.72227896521294e-05,quantal fixed-point L1,0.010509354790928,0.783592392288608,0.624180368519477,0.695915779215586,0.159412023769131,0.389135510165119,0.2449445,1,0.2,none
50,58,MF-RQE,Robust SOTA,1,21,0.703155132539015,7.63455179394468e-05,quantal fixed-point L1,0.0142327149820258,0.762661045159781,0.649080567093482,0.700191782223316,0.113580478066299,0.273686363205582,0.2094725,1,0.2,none
50,58,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454044e-05,mixed best-response fixed-point L1,0.0122620285001507,0.711489793789152,0.725547544420289,0.719221556636278,-0.014057750631137,1.14996634136185e-05,0.1065909,1,0.2,none
50,58,DRNE-VI,Robust SOTA,0,300,0.998198949431928,0.0032518521817344,worst-distribution exploitability,0.00758623217545018,0.78157100290952,0.643483172806165,0.705622696352675,0.138087830103354,0.288843548536262,0.0061821,1,0.2,none
50,59,Proposed IT2-W-FBRI,Proposed,1,41,0.872183694245848,8.10303791878101e-05,max strategy-step L1,0.0122496799488736,0.714117451721504,0.726873798662611,0.721133442539113,-0.0127563469411069,0.000318782892909526,0.0059763,0.05,0.2,base Gamma_alpha certificate; focused point empirical
50,59,Isobe-APP,Convergence SOTA,1,42,0.77838815129929,9.78576008152341e-05,outer-anchor L1,7.22879718306757e-08,0.848204040815405,0.382357939718633,0.59198868521218,0.465846101096772,0.999952580206905,0.0052865,1,0,none
50,59,RQE,Robust SOTA,1,23,0.691481000334441,9.72227896521294e-05,quantal fixed-point L1,0.010509354790928,0.783173614013493,0.624297296880286,0.695791639590229,0.158876317133206,0.389135510165119,0.2575674,1,0.2,none
50,59,MF-RQE,Robust SOTA,1,21,0.703155132539015,7.63455179394468e-05,quantal fixed-point L1,0.0142327149820258,0.761472378932883,0.648944034876242,0.69958178970173,0.11252834405664,0.273686363205582,0.2173964,1,0.2,none
50,59,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454044e-05,mixed best-response fixed-point L1,0.0122620285001507,0.713407456111521,0.727158689323895,0.720970634378326,-0.013751233212374,1.14996634136185e-05,0.1060515,1,0.2,none
50,59,DRNE-VI,Robust SOTA,0,300,0.998198949431928,0.0032518521817344,worst-distribution exploitability,0.00758623217545018,0.782414963518057,0.644758872072208,0.70670411322284,0.137656091445848,0.288843548536262,0.0062047,1,0.2,none
50,60,Proposed IT2-W-FBRI,Proposed,1,41,0.87356068301923,8.10301053438254e-05,max strategy-step L1,0.0122496799839561,0.718215100187515,0.728423168600177,0.723829537814479,-0.0102080684126624,0.000318782923812473,0.0059522,0.05,0.2,base Gamma_alpha certificate; focused point empirical
50,60,Isobe-APP,Convergence SOTA,1,42,0.778269550697078,9.72815867060242e-05,outer-anchor L1,7.18624650897226e-08,0.844254535303143,0.382750614079865,0.59042737863034,0.461503921223278,0.999952564641605,0.0053527,1,0,none
