N,Seed,Method,Class,Converged,Rounds,q_hat,FinalResidual,NativeCriterion,CommonAlphaExploitability,AvgPayoff,WorstCaseQ5,RuntimeSec,Certificate
50,45,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454043e-05,mixed best-response fixed-point L1,8.34693067353065e-06,0.965615896287987,0.930167009172071,0.0978915,none
50,45,DRNE-VI,Robust SOTA,0,300,0.991721255685723,0.00506067452224113,worst-distribution exploitability,0.00424866672834412,0.961821603615627,0.934749945425358,0.0062177,none
50,46,Proposed IT2-W-FBRI,Proposed,1,22,0.683238598992901,8.73689350087987e-05,max strategy-step L1,0.0571251435302133,0.89255930868801,0.875905820266028,0.0040156,base Gamma_alpha certificate; focused point empirical
50,46,Isobe-APP,Convergence SOTA,1,69,0.849546095226907,6.9449130309055e-05,outer-anchor L1,3.29653593267309e-06,0.965622507838713,0.93170130301704,0.0060108,none
50,46,RQE,Robust SOTA,1,32,0.75711465262075,7.84151114607418e-05,quantal fixed-point L1,0.0877651857582546,0.838864799497532,0.816685929439999,0.345616,none
50,46,MF-RQE,Robust SOTA,1,29,0.728542306250493,8.44197585881321e-05,quantal fixed-point L1,0.0643011356873565,0.881358123813592,0.863973726849065,0.3688697,none
50,46,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454043e-05,mixed best-response fixed-point L1,8.34693067353065e-06,0.965615896287987,0.93169273746397,0.0924282,none
50,46,DRNE-VI,Robust SOTA,0,300,0.991721255685723,0.00506067452224113,worst-distribution exploitability,0.00424866672834412,0.961821603615627,0.931863724480758,0.0087148,none
50,47,Proposed IT2-W-FBRI,Proposed,1,22,0.68299545828462,8.70611776665441e-05,max strategy-step L1,0.057125086206601,0.892559389799982,0.867787589810721,0.0041104,base Gamma_alpha certificate; focused point empirical
50,47,Isobe-APP,Convergence SOTA,1,69,0.849565950508614,6.95312009745705e-05,outer-anchor L1,3.30043201945962e-06,0.965622501133619,0.922776542827125,0.0088427,none
50,47,RQE,Robust SOTA,1,32,0.75711465262075,7.84151114607418e-05,quantal fixed-point L1,0.0877651857582546,0.838864799497532,0.81563846163456,0.3209162,none
50,47,MF-RQE,Robust SOTA,1,29,0.728542306250493,8.44197585881321e-05,quantal fixed-point L1,0.0643011356873565,0.881358123813592,0.857255146438891,0.3397263,none
50,47,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454043e-05,mixed best-response fixed-point L1,8.34693067353065e-06,0.965615896287987,0.922765357678745,0.1092011,none
50,47,DRNE-VI,Robust SOTA,0,300,0.991721255685723,0.00506067452224113,worst-distribution exploitability,0.00424866672834412,0.961821603615627,0.922547042292819,0.006307,none
50,48,Proposed IT2-W-FBRI,Proposed,1,22,0.683037707684168,8.71981765569185e-05,max strategy-step L1,0.0571251645039265,0.892559255333729,0.861928578070537,0.0040177,base Gamma_alpha certificate; focused point empirical
50,48,Isobe-APP,Convergence SOTA,1,69,0.849563391792647,6.95266094508471e-05,outer-anchor L1,3.30021400729574e-06,0.965622507810038,0.924520046688552,0.0060713,none
50,48,RQE,Robust SOTA,1,32,0.75711465262075,7.84151114607418e-05,quantal fixed-point L1,0.0877651857582546,0.838864799497532,0.810041220403257,0.3068342,none
50,48,MF-RQE,Robust SOTA,1,29,0.728542306250493,8.44197585881321e-05,quantal fixed-point L1,0.0643011356873565,0.881358123813592,0.853284819288689,0.3340812,none
50,48,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454043e-05,mixed best-response fixed-point L1,8.34693067353065e-06,0.965615896287987,0.924507410856545,0.0973959,none
