Method,Class,RiskName,RiskValue,FocusS,Seed,ExpectedPayoff,WorstCaseQ5,SCShare,Converged,Rounds,RuntimeSec
Proposed IT2-W-FBRI,Proposed,alpha,0,15,52,0.71899406817275,0.726610107553111,2.66574165659229e-05,1,44,0.0074718
Proposed IT2-W-FBRI,Proposed,alpha,0,20,52,0.760049654516058,0.501884742273561,2.57581807319754e-05,1,44,0.0097756
Proposed IT2-W-FBRI,Proposed,alpha,0,40,52,0.794162561074562,0.803564965453009,1.21093045661181e-05,1,46,0.0077108
Proposed IT2-W-FBRI,Proposed,alpha,0.1,0,52,0.719118247557747,0.727046349721771,0.00151741003616324,1,41,0.0055291
Proposed IT2-W-FBRI,Proposed,alpha,0.1,5,52,0.717175690651769,0.727219889888084,1.86251639243911e-05,1,46,0.0073333
Proposed IT2-W-FBRI,Proposed,alpha,0.1,10,52,0.71717636870355,0.727220516749922,1.58603392695029e-05,1,46,0.0074371
Proposed IT2-W-FBRI,Proposed,alpha,0.1,15,52,0.723543009210443,0.706593246208835,3.04377662956659e-05,1,44,0.007193
Proposed IT2-W-FBRI,Proposed,alpha,0.1,20,52,0.768312284445711,0.579981848574732,2.94990395595515e-05,1,44,0.0071047
Proposed IT2-W-FBRI,Proposed,alpha,0.1,40,52,0.794164621517955,0.80356661347517,1.39204279872643e-05,1,46,0.0086907
Proposed IT2-W-FBRI,Proposed,alpha,0.2,0,52,0.73891800947838,0.686658992522033,0.0601391418327183,1,52,0.0061488
Proposed IT2-W-FBRI,Proposed,alpha,0.2,5,52,0.717176270188205,0.727220504415162,2.06918321741203e-05,1,45,0.0066701
Proposed IT2-W-FBRI,Proposed,alpha,0.2,10,52,0.717183422890069,0.727228906063195,1.79469744337024e-05,1,45,0.0071194
Proposed IT2-W-FBRI,Proposed,alpha,0.2,15,52,0.732836990833541,0.656060688149766,3.46501302294992e-05,1,44,0.0071806
Proposed IT2-W-FBRI,Proposed,alpha,0.2,20,52,0.776568816858751,0.657237114749185,3.36882066312331e-05,1,44,0.0071428
Proposed IT2-W-FBRI,Proposed,alpha,0.2,40,52,0.794166291466797,0.803567976616395,1.59603159301545e-05,1,46,0.0074626
Proposed IT2-W-FBRI,Proposed,alpha,0.3,0,52,0.826748910315615,0.58041560111536,0.576249884224368,1,48,0.0061327
Proposed IT2-W-FBRI,Proposed,alpha,0.3,5,52,0.717176868817338,0.727221159277282,2.28980050458369e-05,1,44,0.0074559
Proposed IT2-W-FBRI,Proposed,alpha,0.3,10,52,0.717286148334221,0.727351469958945,2.02287314041841e-05,1,45,0.0073395
Proposed IT2-W-FBRI,Proposed,alpha,0.3,15,52,0.74616725997808,0.577929189861238,3.93220860815745e-05,1,43,0.0073004
Proposed IT2-W-FBRI,Proposed,alpha,0.3,20,52,0.78418654182026,0.726541949609851,3.83584718530349e-05,1,43,0.007267
Proposed IT2-W-FBRI,Proposed,alpha,0.3,40,52,0.794167671647601,0.803569131923717,1.82443200002382e-05,1,46,0.0091319
Proposed IT2-W-FBRI,Proposed,alpha,0.4,0,52,0.83767932093633,0.519127850509302,0.719867341379459,1,42,0.0056263
Proposed IT2-W-FBRI,Proposed,alpha,0.4,5,52,0.717178932837264,0.727223570881838,2.5232556054154e-05,1,44,0.0091998
Proposed IT2-W-FBRI,Proposed,alpha,0.4,10,52,0.718744353759632,0.727005657824596,3.24460435404546e-05,1,44,0.0093421
Proposed IT2-W-FBRI,Proposed,alpha,0.4,15,52,0.761849743241027,0.518760512649949,4.4451276228011e-05,1,43,0.0068148
Proposed IT2-W-FBRI,Proposed,alpha,0.4,20,52,0.789995988527903,0.778659484667664,4.35126316325076e-05,1,43,0.0070676
Proposed IT2-W-FBRI,Proposed,alpha,0.4,40,52,0.794168839535026,0.803570138797643,2.07877627033498e-05,1,45,0.0089336
Proposed IT2-W-FBRI,Proposed,alpha,0.5,0,52,0.842416320053301,0.472947646394562,0.817368393291919,1,42,0.0058033
Proposed IT2-W-FBRI,Proposed,alpha,0.5,5,52,0.717254529188058,0.727313743513441,2.76951690885417e-05,1,43,0.0071515
Proposed IT2-W-FBRI,Proposed,alpha,0.5,10,52,0.730178528325009,0.670839694843596,5.18331016567275e-05,1,42,0.0070381
Proposed IT2-W-FBRI,Proposed,alpha,0.5,15,52,0.777689854259632,0.667611853440336,5.00577549778938e-05,1,42,0.008662
Proposed IT2-W-FBRI,Proposed,alpha,0.5,20,52,0.792970228783159,0.801398461333811,3.44189313377342e-05,1,44,0.0076802
Proposed IT2-W-FBRI,Proposed,alpha,0.5,40,52,0.794169853805839,0.803571041822173,2.35920898832863e-05,1,45,0.0103473
Proposed IT2-W-FBRI,Proposed,alpha,0.6,0,52,0.845383888305391,0.435889082350255,0.891987787285175,1,42,0.0053797
Proposed IT2-W-FBRI,Proposed,alpha,0.6,5,52,0.720690497090609,0.721376304172707,4.32569993816226e-05,1,42,0.0074544
Proposed IT2-W-FBRI,Proposed,alpha,0.6,10,52,0.758321919637981,0.49998133858343,4.03915672530747e-05,1,43,0.0067873
Proposed IT2-W-FBRI,Proposed,alpha,0.6,15,52,0.78950590815414,0.774281878250464,5.61227197909684e-05,1,42,0.0071541
Proposed IT2-W-FBRI,Proposed,alpha,0.6,20,52,0.793898187123913,0.803365363537839,2.71139459634245e-05,1,44,0.0080825
Proposed IT2-W-FBRI,Proposed,alpha,0.6,40,52,0.794170759465515,0.803571875437443,2.66659271406351e-05,1,44,0.0087931
Proposed IT2-W-FBRI,Proposed,alpha,0.7,0,52,0.847233148159302,0.409558246176916,0.943559731762827,1,42,0.0053577
Proposed IT2-W-FBRI,Proposed,alpha,0.7,5,52,0.762169922511803,0.520948402738484,0.00132275653627642,1,42,0.0079245
Proposed IT2-W-FBRI,Proposed,alpha,0.7,10,52,0.786076742016902,0.74354158783206,5.76653921569447e-05,1,42,0.0072218
Proposed IT2-W-FBRI,Proposed,alpha,0.7,15,52,0.793561798336016,0.803110603525287,3.11274444746224e-05,1,43,0.0074419
Proposed IT2-W-FBRI,Proposed,alpha,0.7,20,52,0.794114376586591,0.803529331348885,3.0402766418189e-05,1,44,0.0075361
Proposed IT2-W-FBRI,Proposed,alpha,0.7,40,52,0.794171590080932,0.803572664755277,3.00009089671164e-05,1,44,0.0101964
Proposed IT2-W-FBRI,Proposed,alpha,0.8,0,52,0.848250461018545,0.393924045206496,0.973683089656002,1,42,0.0054937
Proposed IT2-W-FBRI,Proposed,alpha,0.8,5,52,0.816970334028794,0.684602926639299,0.334583758303981,1,42,0.010373
Proposed IT2-W-FBRI,Proposed,alpha,0.8,10,52,0.795470443191505,0.802637242798887,0.0220698747150045,1,42,0.0066013
Proposed IT2-W-FBRI,Proposed,alpha,0.8,15,52,0.794227882650746,0.803679381960119,0.00149244416166995,1,43,0.0070237
Proposed IT2-W-FBRI,Proposed,alpha,0.8,20,52,0.794179762525907,0.803589504250829,0.000272730767110288,1,43,0.0071675
Proposed IT2-W-FBRI,Proposed,alpha,0.8,40,52,0.794173659911896,0.803575125047278,5.00199455632833e-05,1,43,0.0084273
Proposed IT2-W-FBRI,Proposed,alpha,0.85,0,52,0.848542702681601,0.389271845686254,0.982582533660389,1,43,0.0057207
Proposed IT2-W-FBRI,Proposed,alpha,0.85,5,52,0.832860114056467,0.574444057176164,0.604053136878797,1,42,0.0082779
Proposed IT2-W-FBRI,Proposed,alpha,0.85,10,52,0.810300224220491,0.730275497651987,0.22114061707374,1,42,0.0069552
Proposed IT2-W-FBRI,Proposed,alpha,0.85,15,52,0.798878539131954,0.790372041187506,0.0613635851291755,1,42,0.0068863
Proposed IT2-W-FBRI,Proposed,alpha,0.85,20,52,0.79567613775253,0.803498019973223,0.0193908045528541,1,42,0.0066311
Proposed IT2-W-FBRI,Proposed,alpha,0.85,40,52,0.794393214630076,0.803634889287996,0.0028457867495599,1,43,0.0070927
Proposed IT2-W-FBRI,Proposed,alpha,0.9,0,52,0.848739042765173,0.386104370793147,0.988625360310756,1,43,0.0055477
Proposed IT2-W-FBRI,Proposed,alpha,0.9,5,52,0.843332756334887,0.463093711694338,0.837588494779166,1,42,0.0065815
Proposed IT2-W-FBRI,Proposed,alpha,0.9,10,52,0.833157377164053,0.572323549846836,0.608811488037922,1,42,0.0067969
Proposed IT2-W-FBRI,Proposed,alpha,0.9,15,52,0.82417970177539,0.640692369638051,0.441426922368451,1,42,0.0069768
