N,Seed,Method,Class,Converged,Rounds,q_hat,FinalResidual,NativeCriterion,CommonAlphaExploitability,ExpectedPayoff,WorstCaseQ5,CE_gamma,PayoffDegradation,SCShare,RuntimeSec,DecisionAlpha,SolveDelta,Certificate
50,56,DRNE-VI,Robust SOTA,0,300,0.998198949431928,0.0032518521817344,worst-distribution exploitability,0.00758623217545018,0.798752884502503,0.674090063977746,0.730188333213887,0.124662820524757,0.288843548536262,0.0059886,1,0.2,none
50,57,Proposed IT2-W-FBRI,Proposed,1,45,0.856703152434905,7.73351514279223e-05,max strategy-step L1,0.0101278438598879,0.81584487197796,0.807532810806447,0.811273238333628,0.00831206117151262,2.35920237096958e-05,0.0086649,0.5,0.2,base Gamma_alpha certificate; focused point empirical
50,57,Isobe-APP,Convergence SOTA,1,42,0.778432059801114,9.80215971554633e-05,outer-anchor L1,7.24089117554172e-08,0.844014745930546,0.379053540788729,0.588286083102547,0.464961205141817,0.999952521636595,0.0053208,1,0,none
50,57,RQE,Robust SOTA,1,23,0.691481000334441,9.72227896521294e-05,quantal fixed-point L1,0.010509354790928,0.795729983615902,0.623567338467848,0.701040528784472,0.172162645148055,0.389135510165119,0.2445496,1,0.2,none
50,57,MF-RQE,Robust SOTA,1,21,0.703155132539015,7.63455179394468e-05,quantal fixed-point L1,0.0142327149820258,0.777369214767506,0.656423947016027,0.710849317504193,0.120945267751479,0.273686363205582,0.2137883,1,0.2,none
50,57,CVaR-game,Robust SOTA,1,28,0.700000000000027,9.85685435454044e-05,mixed best-response fixed-point L1,0.0122620285001507,0.740561028389136,0.730827353312733,0.735207507097114,0.00973367507640333,1.14996634136185e-05,0.0943714,1,0.2,none
50,57,DRNE-VI,Robust SOTA,0,300,0.998198949431928,0.0032518521817344,worst-distribution exploitability,0.00758623217545018,0.798451495323515,0.673770195407704,0.729876780369819,0.124681299915812,0.288843548536262,0.0061817,1,0.2,none
50,58,Proposed IT2-W-FBRI,Proposed,1,45,0.856680251024214,7.73352881218665e-05,max strategy-step L1,0.0101278438635513,0.815818457417484,0.807591854607339,0.811293825871904,0.00822660281014531,2.35920399227897e-05,0.0077437,0.5,0.2,base Gamma_alpha certificate; focused point empirical
50,58,Isobe-APP,Convergence SOTA,1,42,0.778331398913721,9.74724953386181e-05,outer-anchor L1,7.20031518852693e-08,0.841627134776482,0.379388618875041,0.587395951030689,0.462238515901441,0.999952639356912,0.003971,1,0,none
50,58,RQE,Robust SOTA,1,23,0.691481000334441,9.72227896521294e-05,quantal fixed-point L1,0.010509354790928,0.794880079827314,0.623864462176315,0.700821490119264,0.171015617651,0.389135510165119,0.2516292,1,0.2,none
