Mode,SeedGroup,Method,Seed,Rounds,ExpectedPayoff,WorstCaseQ5,CE_055,SCShare,EpsNE,RuntimeSec
dispersed,main,CVaR-game,48,28,0.716920951457746,0.728011580056018,0.723020797186796,1.14996634136185e-05,NaN,0.718776
dispersed,main,DRNE-VI,48,300,0.78287412490828,0.645980766563583,0.707582777818696,0.288843548536262,NaN,0.0063299
dispersed,main,Proposed-Base,49,21,0.734961542192982,0.580669875763563,0.650101125656801,0.100751529803048,0.029511520302953,0.0036304
dispersed,main,Proposed-Anneal,49,78,0.745529005309123,0.505372969541782,0.613443185637085,9.53536826385422e-05,0.00315266793322055,0.0130369
dispersed,main,Proposed-Coherent,49,28,0.711340473822287,0.72580363792734,0.719295214080066,1.14996634136185e-05,4.66754617733933e-07,0.7379115
dispersed,main,Isobe-APP,49,42,0.847931179789306,0.381124545063849,0.591187530690304,0.999952739540629,NaN,0.0039711
dispersed,main,RQE,49,23,0.781734489764692,0.623818974542989,0.694880956392755,0.389135516637,NaN,1.6137027
dispersed,main,MF-RQE,49,21,0.759902231355941,0.649174389619689,0.699001918401003,0.273686364048246,NaN,1.6914325
dispersed,main,CVaR-game,49,28,0.711340473822287,0.72580363792734,0.719295214080066,1.14996634136185e-05,NaN,0.7295111
dispersed,main,DRNE-VI,49,300,0.780597629901576,0.644695386212843,0.705851395872773,0.288843548536262,NaN,0.005996
dispersed,main,Proposed-Base,50,21,0.737685200272301,0.581798559750144,0.651947547985115,0.100751563218602,0.0295116091681403,0.0036797
dispersed,main,Proposed-Anneal,50,78,0.74883177716088,0.50532599055609,0.614903594528246,9.53536826385835e-05,0.00315266793322067,0.0127211
dispersed,main,Proposed-Coherent,50,28,0.716784014994723,0.727478459131007,0.722665959269679,1.14996634136185e-05,4.66754617733933e-07,0.7745875
dispersed,main,Isobe-APP,50,42,0.848464803286214,0.380200124359166,0.590919229876337,0.999952752349561,NaN,0.0040676
dispersed,main,RQE,50,23,0.783580760494401,0.624304837981495,0.695979003112303,0.389135516637,NaN,1.6271854
